Code,Name,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2015 POPCEN)","POPULATION
(2015 POPCEN)",
012804015,Utol,Bgy,,,,R, 650 ,
012805000,City of Batac,City,,CC,5th,," 55,201 ",
012805001,Aglipay (Pob.),Bgy,,,,R," 1,412 ",
012805002,Baay,Bgy,,,,R," 3,075 ",
012805003,Baligat,Bgy,,,,R," 1,907 ",
012805004,Bungon,Bgy,,,,R," 1,520 ",
012805005,Baoa East,Bgy,,,,R, 756 ,
012805006,Baoa West,Bgy,,,,R," 1,218 ",
012805007,Barani (Pob.),Bgy,,,,R, 659 ,
012805009,Ben-agan (Pob.),Bgy,,,,R, 659 ,
012805010,Bil-loca,Bgy,,,,R," 2,866 ",
012805011,Biningan,Bgy,,,,R, 445 ,
012805012,Callaguip (Pob.),Bgy,,,,U, 900 ,
012805013,Camandingan,Bgy,,,,R," 1,499 ",
012805014,Camguidan,Bgy,,,,R, 535 ,
012805015,Cangrunaan (Pob.),Bgy,,,,R, 961 ,
012805016,Capacuan,Bgy,,,,R, 753 ,
012805017,Caunayan (Pob.),Bgy,,,,U," 1,175 ",
012805018,Valdez Pob.,Bgy,Caoayan,,,U, 945 ,
012805019,Colo,Bgy,,,,R," 1,360 ",
012805020,Pimentel,Bgy,Cubol,,,R," 1,232 ",
012805021,Dariwdiw,Bgy,,,,R," 1,883 ",
012805022,Acosta Pob.,Bgy,Iloilo,,,U," 1,205 ",
012805023,Ablan Pob.,Bgy, Labucao,,,U, 647 ,
012805024,Lacub (Pob.),Bgy,,,,R, 502 ,
012805025,Mabaleng,Bgy,,,,R," 1,158 ",
012805026,Magnuang,Bgy,,,,U," 2,145 ",
012805027,Maipalig,Bgy,,,,R, 566 ,
012805028,Nagbacalan,Bgy,,,,R," 1,109 ",
012805029,Naguirangan,Bgy,,,,R," 1,276 ",
012805030,Ricarte Pob.,Bgy,Nalasin,,,U, 818 ,
012805031,Palongpong,Bgy,,,,R," 1,729 ",
012805032,Palpalicong (Pob.),Bgy,,,,R, 827 ,
012805033,Parangopong,Bgy,,,,R," 1,292 ",
012805034,Payao,Bgy,,,,R," 1,384 ",
012805035,Quiling Norte,Bgy,,,,R," 1,330 ",
012805036,Quiling Sur,Bgy,,,,R," 2,838 ",
012805037,Quiom,Bgy,,,,R, 970 ,
012805038,Rayuray,Bgy,,,,R, 995 ,
012805039,San Julian (Pob.),Bgy,,,,R, 543 ,
012805040,San Mateo,Bgy,,,,R," 1,111 ",
012805041,San Pedro,Bgy,,,,R," 1,038 ",
012805042,Suabit (Pob.),Bgy,,,,U," 1,228 ",
012805043,Sumader,Bgy,,,,R," 1,349 ",
012805044,Tabug,Bgy,,,,U," 3,381 ",
012806000,Burgos,Mun,,,5th,," 9,777 ",
012806001,Ablan Sarat,Bgy,,,,R," 1,498 ",
012806002,Agaga,Bgy,,,,R, 484 ,
012806005,Bayog,Bgy,,,,R, 721 ,
012806006,Bobon,Bgy,,,,R," 1,371 ",
012806007,Buduan,Bgy,Malituek,,,R, 781 ,
012806008,Nagsurot,Bgy,,,,R, 768 ,
012806009,Paayas,Bgy,,,,U, 711 ,
012806010,Pagali,Bgy,,,,R, 655 ,
012806011,Poblacion,Bgy,,,,R," 1,531 ",
012806013,Saoit,Bgy,,,,R, 648 ,
012806014,Tanap,Bgy,,,,R, 609 ,
012807000,Carasi,Mun,,,5th,," 1,567 ",
012807001,Angset,Bgy,,,,R, 171 ,
012807003,Barbaqueso (Pob.),Bgy,,,,R, 783 ,
012807004,Virbira,Bgy,,,,R, 613 ,
012808000,Currimao,Mun,,,4th,," 12,184 ",
012808001,Anggapang Norte,Bgy,,,,R, 279 ,
012808002,Anggapang Sur,Bgy,,,,R, 156 ,
012808003,Bimmanga,Bgy,,,,R, 411 ,
012808004,Cabuusan,Bgy,,,,R, 354 ,
012808005,Comcomloong,Bgy,,,,R, 129 ,
012808006,Gaang,Bgy,,,,R," 1,238 ",
012808007,Lang-ayan-Baramban,Bgy,,,,R, 574 ,
012808008,Lioes,Bgy,,,,R, 477 ,
012808009,Maglaoi Centro,Bgy,,,,R, 239 ,
012808010,Maglaoi Norte,Bgy,,,,R, 671 ,
012808011,Maglaoi Sur,Bgy,,,,R, 541 ,
012808013,Paguludan-Salindeg,Bgy,,,,R, 319 ,
012808014,Pangil,Bgy,,,,R, 601 ,
012808015,Pias Norte,Bgy,,,,R, 887 ,
012808016,Pias Sur,Bgy,,,,R, 723 ,
012808017,Poblacion I,Bgy,,,,R, 744 ,
012808018,Poblacion II,Bgy,,,,R, 611 ,
012808019,Salugan,Bgy,,,,R, 471 ,
012808020,San Simeon,Bgy,,,,R, 300 ,
012808021,Santa Cruz,Bgy,,,,R, 293 ,
012808022,Tapao-Tigue,Bgy,,,,R, 791 ,
012808023,Torre,Bgy,,,,R, 429 ,
012808024,Victoria,Bgy,,,,R, 946 ,
012809000,Dingras,Mun,,,2nd,," 38,562 ",
012809001,Albano (Pob.),Bgy,,,,U, 823 ,
012809002,Bacsil,Bgy,,,,R, 837 ,
012809003,Bagut,Bgy,,,,R, 972 ,
012809004,Parado,Bgy,Bangay,,,R," 1,524 ",
012809005,Baresbes,Bgy,,,,R," 1,998 ",
012809006,Barong,Bgy,,,,R," 2,374 ",
012809007,Bungcag,Bgy,,,,R, 538 ,
012809009,Cali,Bgy,,,,R," 1,319 ",
012809010,Capasan,Bgy,,,,R, 697 ,
012809011,Dancel (Pob.),Bgy,,,,R, 570 ,
012809012,Foz,Bgy,,,,R, 874 ,
012809013,Guerrero (Pob.),Bgy,,,,R," 1,492 ",
012809014,Lanas,Bgy,,,,R, 905 ,
012809015,Lumbad,Bgy,,,,R," 1,023 ",
012809016,Madamba (Pob.),Bgy,,,,U," 1,984 ",
012809017,Mandaloque,Bgy,,,,R, 664 ,
012809018,Medina,Bgy,,,,R," 1,290 ",
012809019,Ver,Bgy,Naglayaan,,,R," 1,175 ",
012809020,San Marcelino,Bgy,Padong,,,R," 3,710 ",
012809021,Puruganan (Pob.),Bgy,,,,R, 880 ,
012809022,Peralta (Pob.),Bgy,,,,R," 1,331 ",
012809023,Root,Bgy,Baldias,,,R, 828 ,
012809024,Sagpatan,Bgy,,,,R, 822 ,
012809025,Saludares,Bgy,,,,R," 1,469 ",
012809026,San Esteban,Bgy,,,,R, 828 ,
012809027,Espiritu,Bgy,,,,R, 975 ,
012809028,Sulquiano,Bgy,Sidiran,,,R," 1,458 ",
012809029,San Francisco,Bgy,Surrate,,,R," 2,154 ",
012809030,Suyo,Bgy,,,,U," 1,400 ",
012809031,San Marcos,Bgy,,,,R, 649 ,
012809032,Elizabeth,Bgy,,,,R, 999 ,
012810000,Dumalneg,Mun,,,5th,," 2,947 ",
012810001,Cabaritan,Bgy,Dumalneg,,,R," 1,964 ",a/
012810002,San Isidro,Bgy,,,,R, 983 ,
012810003,Kalaw,Bgy,Dumalneg,,,,-,
012810004,Quibel,Bgy,Dumalneg,,,,-,
012811000,Banna,Mun,Espiritu,,4th,," 19,438 ",
012811001,Balioeg,Bgy,,,,R, 877 ,
012811002,Bangsar,Bgy,,,,R, 901 ,
012811003,Barbarangay,Bgy,,,,R, 782 ,
012811004,Bomitog,Bgy,,,,R," 1,314 ",
012811005,Bugasi,Bgy,,,,R, 938 ,
012811006,Caestebanan,Bgy,,,,R," 1,063 ",
012811008,Caribquib,Bgy,,,,R, 980 ,
012811009,Catagtaguen,Bgy,,,,R," 1,270 ",
012811011,Crispina,Bgy,,,,R, 984 ,
012811012,Hilario (Pob.),Bgy,,,,R, 993 ,
012811013,Imelda,Bgy,,,,R, 610 ,
012811014,Lorenzo (Pob.),Bgy,,,,R, 794 ,
012811015,Macayepyep,Bgy,,,,R," 1,180 ",
012811016,Marcos (Pob.),Bgy,,,,R, 975 ,
012811017,Nagpatayan,Bgy,,,,R, 912 ,
012811018,Valdez,Bgy,,,,R, 969 ,
012811019,Sinamar,Bgy,,,,R," 1,198 ",
012811020,Tabtabagan,Bgy,,,,R," 1,149 ",
012811021,Valenciano (Pob.),Bgy,,,,R, 725 ,
012811022,Binacag,Bgy,,,,R, 824 ,
012812000,City of Laoag (Capital),City,,CC,3rd,," 111,125 ",
012812001,"Bgy. No. 42, Apaya",Bgy,,,,R, 916 ,
012812002,"Bgy. No. 36, Araniw",Bgy,,,,R, 873 ,
012812003,"Bgy. No. 56-A, Bacsil North",Bgy,,,,R, 951 ,
012812004,"Bgy. No. 56-B, Bacsil South",Bgy,,,,R," 1,349 ",
012812005,"Bgy. No. 41, Balacad",Bgy,,,,R," 1,422 ",
012812006,"Bgy. No. 40, Balatong",Bgy,,,,R," 2,659 ",
012812007,"Bgy. No. 55-A, Barit-Pandan",Bgy,,,,U," 2,233 ",
012812008,"Bgy. No. 47, Bengcag",Bgy,,,,U," 1,874 ",
012812009,"Bgy. No. 50, Buttong",Bgy,,,,U," 3,044 ",
012812010,"Bgy. No. 60-A, Caaoacan",Bgy,,,,R," 1,430 ",
012812011,"Bry. No. 48-A, Cabungaan North",Bgy,,,,R," 1,788 ",
012812012,"Bgy. No. 48-B, Cabungaan South",Bgy,,,,R," 1,239 ",
012812013,"Bgy. No. 37, Calayab",Bgy,,,,U," 2,081 ",
012812014,"Bgy. No. 54-B, Camangaan",Bgy,,,,R," 1,005 ",
012812015,"Bgy. No. 58, Casili",Bgy,,,,R, 964 ,
012812016,"Bgy. No. 61, Cataban",Bgy,,,,R, 766 ,
012812017,"Bgy. No. 43, Cavit",Bgy,,,,R," 1,086 ",
012812019,"Bgy. No. 49-A, Darayday",Bgy,,,,R, 976 ,
012812020,"Bgy. No. 59-B, Dibua North",Bgy,,,,R, 865 ,
012812021,"Bgy. No. 59-A, Dibua South",Bgy,,,,R," 1,100 ",
012812022,"Bgy. No. 34-B, Gabu Norte East",Bgy,,,,R," 1,230 ",
012812023,"Bgy. No. 34-A, Gabu Norte West",Bgy,,,,R, 777 ,
012812024,"Bgy. No. 35, Gabu Sur",Bgy,,,,R," 1,778 ",
012812026,Bgy. No. 32-C La Paz East,Bgy,,,,R," 1,693 ",
012812027,"Bgy. No. 33-B, La Paz Proper",Bgy,,,,R," 1,052 ",
012812028,"Bgy. No. 32-B, La Paz West",Bgy,,,,R," 1,065 ",
012812029,"Bgy. No. 54-A, Lagui-Sail",Bgy,,,,R," 2,372 ",
012812030,"Bgy. No. 32-A, La Paz East",Bgy,,,,R," 1,433 ",
012812031,"Bgy. No. 33-A, La Paz Proper",Bgy,,,,R," 1,113 ",
012812032,"Bgy. No. 52-B, Lataag",Bgy,,,,R, 876 ,
012812033,"Bgy. No. 60-B, Madiladig",Bgy,,,,R," 1,469 ",
012812034,"Bgy. No. 38-A, Mangato East",Bgy,,,,R," 1,040 ",
012812035,"Bgy. No. 38-B, Mangato West",Bgy,,,,R," 1,188 ",
012812036,"Bgy. No. 62-A, Navotas North",Bgy,,,,R, 796 ,
012812037,"Bgy. No. 62-B, Navotas South",Bgy,,,,R, 912 ,
012812038,"Bgy. No. 46, Nalbo",Bgy,,,,R," 2,401 ",
012812039,"Bgy. No. 51-A, Nangalisan East",Bgy,,,,U," 1,510 ",
012812040,"Bgy. No. 51-B, Nangalisan West",Bgy,,,,U, 814 ,
012812041,"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)",Bgy,,,,R," 1,054 ",
012812042,"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)",Bgy,,,,U," 1,131 ",
012812043,"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)",Bgy,,,,R, 968 ,
012812044,"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)",Bgy,,,,U," 1,618 ",
012812045,"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)",Bgy,,,,U," 1,443 ",
012812046,"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)",Bgy,,,,U," 1,189 ",
012812047,"Bgy. No. 57, Pila",Bgy,,,,R," 1,866 ",
012812048,"Bgy. No. 49-B, Raraburan",Bgy,,,,R," 1,658 ",
012812049,"Bgy. No. 53, Rioeng",Bgy,,,,U," 1,616 ",
012812050,"Bgy. No. 55-B, Salet-Bulangon",Bgy,,,,U," 2,521 ",
012812053,"Bgy. No. 6, San Agustin (Pob.)",Bgy,,,,R," 1,371 ",
012812054,"Bgy. No. 22, San Andres (Pob.)",Bgy,,,,U," 1,065 ",
012812055,"Bgy. No. 28, San Bernardo (Pob.)",Bgy,,,,R," 1,758 ",
012812056,"Bgy. No. 17, San Francisco (Pob.)",Bgy,,,,U, 708 ,
012812057,"Bgy. No. 4, San Guillermo (Pob.)",Bgy,,,,U," 1,256 ",
012812058,"Bgy. No. 15, San Guillermo (Pob.)",Bgy,,,,U," 1,098 ",
012812059,"Bgy. No. 12, San Isidro (Pob.)",Bgy,,,,U," 1,607 ",
012812060,"Bgy. No. 16, San Jacinto (Pob.)",Bgy,,,,U," 1,060 ",
012812061,"Bgy. No. 10, San Jose (Pob.)",Bgy,,,,U," 1,005 ",
012812062,"Bgy. No. 1, San Lorenzo (Pob.)",Bgy,,,,U," 4,733 ",
012812063,"Bgy. No. 26, San Marcelino (Pob.)",Bgy,,,,R, 963 ,
012812064,"Bgy. No. 52-A, San Mateo",Bgy,,,,R, 629 ,
012812065,"Bgy. No. 23, San Matias (Pob.)",Bgy,,,,R," 2,857 ",
012812066,"Bgy. No. 20, San Miguel (Pob.)",Bgy,,,,U," 1,029 ",
012812067,"Bgy. No. 21, San Pedro (Pob.)",Bgy,,,,R," 1,349 ",
012812068,"Bgy. No. 5, San Pedro (Pob.)",Bgy,,,,U," 1,723 ",
012812069,"Bry. No. 18, San Quirino (Pob.)",Bgy,,,,R, 723 ,
012812070,"Bgy. No. 8, San Vicente (Pob.)",Bgy,,,,U," 1,042 ",
012812071,"Bgy. No. 9, Santa Angela (Pob.)",Bgy,,,,U, 802 ,
012812072,"Bgy. No. 11, Santa Balbina (Pob.)",Bgy,,,,U," 1,365 ",
012812073,"Bgy. No. 25, Santa Cayetana (Pob.)",Bgy,,,,R," 1,201 ",
012812074,"Bgy. No. 2, Santa Joaquina (Pob.)",Bgy,,,,U," 2,568 ",
012812075,"Bgy. No. 19, Santa Marcela (Pob.)",Bgy,,,,U," 1,144 ",
012812076,"Bgy. No. 30-B, Santa Maria",Bgy,,,,R," 1,516 ",
012812077,"Bgy. No. 39, Santa Rosa",Bgy,,,,R, 789 ,
012812078,"Bgy. No. 14, Santo Tomas (Pob.)",Bgy,,,,U," 1,147 ",
012812079,"Bgy. No. 29, Santo Tomas (Pob.)",Bgy,,,,R," 1,330 ",
012812080,"Bgy. No. 30-A, Suyo",Bgy,,,,U, 762 ,
012812081,"Bgy. No. 31, Talingaan",Bgy,,,,R," 1,616 ",
012812082,"Bgy. No. 45, Tangid",Bgy,,,,R, 997 ,
012812083,"Bgy. No. 55-C, Vira",Bgy,,,,R," 1,377 ",
012812084,"Bgy. No. 44, Zamboanga",Bgy,,,,R," 1,331 ",
012813000,Marcos,Mun,,,4th,," 17,777 ",
012813001,Pacifico,Bgy,Agunit,,,R," 1,755 ",
012813003,Imelda,Bgy,Capariaan,,,R, 865 ,
012813004,Elizabeth,Bgy,Culao,,,R," 1,288 ",
012813005,Daquioag,Bgy,,,,R," 1,726 ",
012813006,Escoda,Bgy,,,,R," 2,068 ",
012813007,Ferdinand,Bgy,,,,U, 945 ,
012813008,Fortuna,Bgy,,,,R," 1,127 ",
012813009,Lydia (Pob.),Bgy,,,,R," 2,270 ",
012813010,Mabuti,Bgy,,,,R," 1,122 ",
012813011,Valdez,Bgy,Biding,,,R," 1,096 ",
012813012,Tabucbuc,Bgy,Ragas,,,R," 1,716 ",
012813013,Santiago,Bgy,,,,R," 1,410 ",
012813014,Cacafean,Bgy,,,,R, 389 ,
012814000,Nueva Era,Mun,,,3rd,," 9,506 ",
012814001,Acnam,Bgy,,,,R, 609 ,
012814002,Barangobong,Bgy,,,,R, 370 ,
012814003,Barikir,Bgy,,,,R, 527 ,
012814004,Bugayong,Bgy,,,,R, 723 ,
012814005,Cabittauran,Bgy,,,,R," 1,000 ",
012814006,Caray,Bgy,,,,R, 763 ,
012814007,Garnaden,Bgy,,,,R, 616 ,
012814008,Naguillan,Bgy,Pagpag-ong,,,R, 888 ,
012814009,Poblacion,Bgy,,,,R," 2,196 ",
012814010,Santo Niño,Bgy,,,,R, 962 ,
012814011,Uguis,Bgy,,,,R, 852 ,
012815000,Pagudpud,Mun,,,4th,," 23,770 ",
012815001,Aggasi,Bgy,,,,R, 667 ,
012815003,Baduang,Bgy,,,,R," 1,103 ",
012815004,Balaoi,Bgy,,,,U," 1,934 ",
012815005,Burayoc,Bgy,,,,R," 1,509 ",
012815006,Caunayan,Bgy,,,,R," 1,382 ",
012815007,Dampig,Bgy,,,,R," 1,015 ",
012815008,Ligaya,Bgy,,,,R, 997 ,
012815010,Pancian,Bgy,,,,R," 2,205 ",
012815011,Pasaleng,Bgy,,,,R," 1,727 ",
012815012,Poblacion 1,Bgy,,,,R," 2,536 ",
012815013,Poblacion 2,Bgy,,,,R," 2,942 ",
012815014,Saguigui,Bgy,,,,R, 872 ,
012815015,Saud,Bgy,,,,R," 1,551 ",
012815016,Subec,Bgy,,,,R," 1,557 ",
012815017,Tarrag,Bgy,,,,R, 934 ,
012815018,Caparispisan,Bgy,,,,R, 839 ,
012816000,Paoay,Mun,,,4th,," 24,866 ",
012816001,Bacsil,Bgy,,,,R, 665 ,
012816002,Cabagoan,Bgy,,,,R, 547 ,
012816003,Cabangaran,Bgy,,,,R, 407 ,
012816004,Callaguip,Bgy,,,,R," 1,970 ",
012816005,Cayubog,Bgy,,,,R, 508 ,
012816006,Dolores,Bgy,,,,U, 514 ,
012816007,Laoa,Bgy,,,,R, 344 ,
012816008,Masintoc,Bgy,,,,R, 631 ,
012816009,Monte,Bgy,,,,R, 693 ,
012816010,Mumulaan,Bgy,,,,R, 768 ,
012816011,Nagbacalan,Bgy,,,,R," 3,008 ",
012816012,Nalasin,Bgy,,,,R," 1,286 ",
012816013,Nanguyudan,Bgy,,,,R, 669 ,
012816014,Oaig-Upay-Abulao,Bgy,,,,R, 641 ,
012816015,Pambaran,Bgy,,,,R, 237 ,
012816016,Pannaratan (Pob.),Bgy,,,,R, 236 ,
012816017,Paratong,Bgy,,,,R," 1,118 ",
012816018,Pasil,Bgy,,,,R," 1,031 ",
012816019,Salbang (Pob.),Bgy,,,,U, 689 ,
012816020,San Agustin,Bgy,,,,R," 1,008 ",
012816021,San Blas (Pob.),Bgy,,,,R, 249 ,
012816022,San Juan,Bgy,,,,R, 267 ,
012816025,San Pedro,Bgy,,,,U, 647 ,
012816028,San Roque (Pob.),Bgy,,,,R," 1,195 ",
012816029,Sangladan Pob.,Bgy,Nalbuan,,,R, 427 ,
012816030,Santa Rita (Pob.),Bgy,,,,R, 706 ,
012816031,Sideg,Bgy,,,,R, 459 ,
012816032,Suba,Bgy,,,,R," 1,579 ",
012816033,Sungadan,Bgy,,,,R," 1,309 ",
012816034,Surgui,Bgy,,,,R, 794 ,
012816035,Veronica,Bgy,,,,R, 264 ,
012817000,Pasuquin,Mun,,,3rd,," 28,980 ",
012817001,Batuli,Bgy,,,,R, 376 ,
012817002,Binsang,Bgy,,,,R, 862 ,
012817003,Nalvo,Bgy,Cababaan-Nalvo,,,R, 522 ,
012817004,Caruan,Bgy,,,,R," 1,275 ",
012817005,Carusikis,Bgy,,,,R, 776 ,
012817006,Carusipan,Bgy,,,,R, 480 ,
012817007,Dadaeman,Bgy,,,,R, 340 ,
012817008,Darupidip,Bgy,,,,R, 306 ,
012817009,Davila,Bgy,,,,R," 4,123 ",
012817010,Dilanis,Bgy,,,,R, 402 ,
012817011,Dilavo,Bgy,,,,R, 574 ,
012817012,Estancia,Bgy,,,,R," 1,024 ",
012817014,Naglicuan,Bgy,,,,R," 1,642 ",
012817015,Nagsanga,Bgy,,,,R," 1,293 ",
012817016,Ngabangab,Bgy,,,,R, 726 ,
012817017,Pangil,Bgy,,,,R, 430 ,
012817018,Poblacion 1,Bgy,,,,R," 1,175 ",
012817019,Poblacion 2,Bgy,,,,R," 1,919 ",
012817020,Poblacion 3,Bgy,,,,R," 1,035 ",
012817021,Poblacion 4,Bgy,,,,R," 1,412 ",
012817022,Pragata,Bgy,Pragata-Bungro,,,R, 520 ,
012817023,Puyupuyan,Bgy,,,,R, 798 ,
012817024,Sulongan,Bgy,,,,R, 442 ,
012817025,Salpad,Bgy,,,,R, 586 ,
012817026,San Juan,Bgy,,,,R," 1,475 ",
012817027,Santa Catalina,Bgy,,,,R, 917 ,
012817028,Santa Matilde,Bgy,,,,R, 406 ,
012817029,Sapat,Bgy,,,,R, 62 ,
012817030,Sulbec,Bgy,,,,R, 816 ,
012817031,Surong,Bgy,,,,R, 334 ,
012817032,Susugaen,Bgy,,,,R," 1,364 ",
012817033,Tabungao,Bgy,,,,R, 215 ,
012817034,Tadao,Bgy,,,,R, 353 ,
012818000,Piddig,Mun,,,3rd,," 21,497 ",
012818001,Ab-abut,Bgy,,,,R, 412 ,
012818002,Abucay,Bgy,,,,R," 1,531 ",
012818003,Anao (Pob.),Bgy,,,,R," 1,233 ",
012818004,Arua-ay,Bgy,,,,R, 381 ,
012818005,Bimmanga,Bgy,,,,R, 297 ,
012818006,Boyboy,Bgy,,,,R," 1,549 ",
012818007,Cabaroan (Pob.),Bgy,,,,R, 958 ,
012818008,Calambeg,Bgy,,,,R," 1,288 ",
012818009,Callusa,Bgy,,,,R, 651 ,
012818010,Dupitac,Bgy,,,,R, 712 ,
012818011,Estancia,Bgy,,,,R," 1,810 ",
012818012,Gayamat,Bgy,,,,R, 597 ,
012818013,Lagandit,Bgy,,,,R, 628 ,
012818014,Libnaoan,Bgy,,,,R, 616 ,
012818015,Loing (Pob.),Bgy,,,,R," 1,555 ",
012818016,Maab-abaca,Bgy,,,,R, 454 ,
012818017,Mangitayag,Bgy,,,,R, 611 ,
012818018,Maruaya,Bgy,,,,R, 894 ,
012818019,San Antonio,Bgy,,,,R, 700 ,
012818020,Santa Maria,Bgy,,,,R," 1,491 ",
012818021,Sucsuquen,Bgy,,,,R, 681 ,
012818022,Tangaoan,Bgy,,,,R," 1,024 ",
012818023,Tonoton,Bgy,,,,R," 1,424 ",
